epoch,accuracy
1,0.1754000037908554
2,0.21690000593662262
3,0.2590000033378601
4,0.28679999709129333
5,0.3310000002384186
6,0.3481999933719635
7,0.36899998784065247
8,0.38909998536109924
9,0.4025000035762787
10,0.4117000102996826
11,0.4259999990463257
12,0.44339999556541443
13,0.4447000026702881
14,0.4544999897480011
15,0.4542999863624573
16,0.4629000127315521
17,0.46939998865127563
18,0.474700003862381
19,0.47699999809265137
20,0.4846999943256378
21,0.48649999499320984
22,0.4862000048160553
23,0.4916999936103821
24,0.4876999855041504
25,0.5005000233650208
26,0.4932999908924103
27,0.5016999840736389
28,0.4970000088214874
29,0.5078999996185303
30,0.5099999904632568
