epoch,accuracy
1,0.19460000097751617
2,0.20280000567436218
3,0.26499998569488525
4,0.3156000077724457
5,0.3416999876499176
6,0.3635999858379364
7,0.3747999966144562
8,0.3944999873638153
9,0.40869998931884766
10,0.4221999943256378
11,0.43639999628067017
12,0.4392000138759613
13,0.45019999146461487
14,0.45719999074935913
15,0.4641000032424927
16,0.4700999855995178
17,0.47530001401901245
18,0.47760000824928284
19,0.48429998755455017
20,0.4880000054836273
21,0.490200012922287
22,0.4916999936103821
23,0.49799999594688416
24,0.5001000165939331
25,0.5040000081062317
26,0.5099999904632568
27,0.5145000219345093
28,0.5131000280380249
29,0.5115000009536743
30,0.5156999826431274
