epoch,accuracy
1,0.17829999327659607
2,0.20630000531673431
3,0.26840001344680786
4,0.2994000017642975
5,0.3280999958515167
6,0.350600004196167
7,0.37040001153945923
8,0.3869999945163727
9,0.3995000123977661
10,0.41499999165534973
11,0.4318999946117401
12,0.44029998779296875
13,0.44429999589920044
14,0.45590001344680786
15,0.459199994802475
16,0.4700999855995178
17,0.4767000079154968
18,0.477400004863739
19,0.4821999967098236
20,0.4878000020980835
21,0.48649999499320984
22,0.5001000165939331
23,0.5005000233650208
24,0.5001000165939331
25,0.5059000253677368
26,0.5109000205993652
27,0.5120999813079834
28,0.5049999952316284
29,0.5156999826431274
30,0.5159000158309937
