epoch,accuracy
1,0.3361999988555908
2,0.3910999894142151
3,0.4171000123023987
4,0.43860000371932983
5,0.4577000141143799
6,0.4724000096321106
7,0.4749000072479248
8,0.4973999857902527
9,0.505299985408783
10,0.5091999769210815
